,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1,hyundai creta,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5
3,maruti ertiga,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0
4,audi a4,Coimbatore,2013,40670,Diesel,Automatic,Second & Above,15.2,1968.0,140.8,5.0,17.74
6,nissan micra,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5
7,toyota innova,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5
8,volkswagen vento,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2
9,tata indica,Chennai,2012,65932,Diesel,Manual,Second & Above,22.3,1248.0,74.0,5.0,1.95
12,maruti swift,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6
13,land rover,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0
14,land rover,Pune,2012,85000,Diesel,Automatic,Second & Above,18.822213351075625,2179.0,115.0,5.0,17.5
16,honda amaze,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4
17,maruti swift,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99
18,renault duster,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34
19,mercedes-benz new,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0
20,bmw 3,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55
26,nissan micra,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25
29,toyota innova,Mumbai,2007,262000,Diesel,Manual,Second & Above,12.8,2494.0,102.0,7.0,4.0
30,renault duster,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75
33,audi a6,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5
36,maruti vitara,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63
39,volkswagen polo,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0
48,hyundai xcent,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85
50,audi a4,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43
51,maruti swift,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25
52,maruti swift,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3
53,maruti swift,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85
60,toyota innova,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5
61,ford figo,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75
63,mercedes-benz new,Pune,2011,65000,Diesel,Manual,Second & Above,15.8,2148.0,170.0,5.0,10.0
64,tata indica,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5
65,audi a4,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5
68,maruti ertiga,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15
69,hyundai creta,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5
71,mahindra xuv500,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65
75,audi a6,Delhi,2014,56000,Diesel,Automatic,Second & Above,18.53,1968.0,187.74,5.0,29.5
76,ford fiesta,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,123.95847826488415,5.0,2.0
78,toyota innova,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75
80,maruti swift,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
83,ford figo,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8
84,maruti ritz,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11
86,bmw 5,Delhi,2011,75000,Diesel,Automatic,Second & Above,16.73,1995.0,218.0,5.0,13.9
91,toyota fortuner,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5
92,audi a6,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58
93,ford ecosport,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5
94,mahindra xuv500,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1
95,honda amaze,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
96,volkswagen polo,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79
97,hyundai verna,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45
100,hyundai i20,Pune,2011,78958,Diesel,Manual,Second & Above,23.0,1396.0,90.0,5.0,3.8
103,audi a4,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8
108,mahindra xuv500,Delhi,2012,65000,Diesel,Manual,Second & Above,16.0,2179.0,140.0,7.0,5.75
109,hyundai verna,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25
110,toyota innova,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25
113,bmw 3,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75
115,toyota innova,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11
119,maruti vitara,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5
122,hyundai verna,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95
125,mahindra scorpio,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75
129,volkswagen vento,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25
131,mahindra xuv500,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25
140,mercedes-benz new,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95
141,honda amaze,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7
144,toyota fortuner,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49
146,skoda rapid,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75
149,bmw 3,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5
150,audi a4,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32
151,maruti swift,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25
153,skoda rapid,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86
154,skoda superb,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5
156,volkswagen polo,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5
160,honda city,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11
161,toyota innova,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9
163,mahindra xuv500,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9
164,ford ecosport,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42
165,toyota fortuner,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5
166,volkswagen vento,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25
167,ford figo,Jaipur,2010,66123,Diesel,Manual,Second & Above,20.0,1399.0,68.0,5.0,2.1
169,mercedes-benz new,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66
174,audi a6,Mumbai,2012,62500,Diesel,Automatic,Second & Above,17.68,1968.0,174.33,5.0,19.0
177,hyundai i20,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35
178,audi a6,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95
179,chevrolet beat,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5
181,ford fiesta,Chennai,2006,216000,Diesel,Manual,Second & Above,17.8,1399.0,68.0,5.0,1.45
182,bmw 5,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5
184,volkswagen polo,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2
186,mercedes-benz e-class,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0
188,hyundai verna,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6
190,mahindra scorpio,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31
191,land rover,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76
192,ford figo,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6
193,maruti ertiga,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5
195,honda amaze,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
197,honda amaze,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25
199,renault duster,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35
201,maruti vitara,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0
207,toyota etios,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0
210,honda amaze,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25
211,hyundai verna,Jaipur,2012,117837,Diesel,Manual,Second & Above,22.32,1582.0,126.32,5.0,4.75
212,renault duster,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95
